Date,Tool,Cost Bought,Sold Val,Profit Made,Sold Date,Shipping Info,Notes,Starting Price,HighestShip Num:,310,,,,,,
,"2"" NPT",,30,,2/28/21,38,,65,,,,,,,,
,"1 1/2"" NPT 5 Flute",,20,,3/3/21,40,,35,,,,,,,,
,"1 1/2"" NPT 7 Flute",,23,,2/8/21,39,,40,,,,,,,,
,"1"" NPT",,,,,,,,,,,,,,,
,"(3) 3/4"" NPT",,,,,,,,,,,,,,,
,"1/2"" NPT",,,,,,,,,,,,,,,
,3/8 NPT,,,,,,,,,,,,,,,
,1/4 NPT,,,,,,,,,,,,,,,
,"3 Pipe taps (1"", 3/4"", 3/4"" TiN)",,12.5,,4/28/21,18,,45,,,,,,,,
,"2 11/16"" - 12",,,,,41,,50,Part of Shipping Info 127,,,,,,,
,"2"" - 12",,25,,4/1/21,42,,60,,,,,,,,
,"1 3/4"" - 5 (B) LH",,20,,7/2/21,31,LH Thread,40,,,,,,,,
,"1 3/4"" - 5 (A)",,,,,32,,35,Part of Shipping Info 127,,,,,,,
,"1 5/8"" - 5 1/2",,,,,29,,30,Part of Shipping Info 127,,,,,,,
,1 5/8 - 5,,25,,3/31/22,30,"OD: 1.630""",35,,,,,,,,
,1 1/2 - 6 (A),,10,,6/2/21,28,,15,,,,,,,,
,1 1/2 - 6 (B),,8,,4/10/21,27,,15,,,,,,,,
,1 1/2 - 6 (C),,5,,3/30/21,26,,10,,,,,,,,
,1 1/2 - 6 (D),,15,,2/7/21,25,,15,,,,,,,,
,1 1/2 - 12,,12.5,,2/7/21,24,,25,,,,,,,,
,Lot of Taps and Die For Sale (Rest of taps and dies lot),,0.99,,,127,,,"14lbs, 10x9x5",,,,,,,
,Misc Dies (Same Purchase as Asstd taps),,,,,,,,,,,,,,,
,7/8 - 9 Die,,,,,23,,10,,,,,,,,
,1 1/2 - 6 Die (Chaser),,10,,3/29/21,22,,10,,,,,,,,
,1 1/2 - 12 Die (Chaser),,12.5,,2/7/21,21,,20,,,,,,,,
,1.767 - 12 Widell Die,,,,,20,,5A,Part of Shipping Info 127,,,,,,,
,1/4 E.C & B.C Square Pipe tap,,,,,19,,10,Part of Shipping Info 127,,,,,,,
,Maple Workbench Top,10,,,,,,,,,,,,,,
11/4,Asstd S&D Drill bits 17- 27/32 - 1 1/2,45,55,10,2/15/21,55,,60,,,,,,,,
,27/32,,,,,,,,,,,,,,,
,7/8,,,,,,,,,,,,,,,
,57/64,,,,,,,,,,,,,,,
,29/32,,,,,,,,,,,,,,,
,59/64,,,,,,,,,,,,,,,
,15/16,,,,,,,,,,,,,,,
,61/64,,,,,,,,,,,,,,,
,31/32,,,,,,,,,,,,,,,
,63/64,,,,,,,,,,,,,,,
,1 1/16,,,,,,,,,,,,,,,
,(2) 1 1/8,,,,,,,,,,,,,,,
,1 3/16,,,,,,,,,,,,,,,
,3 1 1/4,,,,,,,,,,,,,,,
,2 1 5/16,,,,,,,,,,,,,,,
,3 1 3/8,,,,,,,,,,,,,,,
,2 1 7/16,,,,,,,,,,,,,,,
,1 1/2,,,,,,,,,,,,,,,
,Yuasa News Spin-Index Fixture,25,,,,,,,,,,,,,,
,Assorted Balas Collets,140,465,325,,,,,,,,,,,,
,(C3),,75,,2/12/21,7,,150,,,,,,,,
,(C4),,25,,4/17/21,9,,75,,,,,,,,
,(C8 Nominal),,255,,3/29/21,6,,500,,,,,,,,
,(C8 Pipe),,110,,7/12/21,14,,170,,,,,,,,
,Cat Retnetion Knobs + Balas Spacers/Collars,,,,,60,,,,,,,,,,
,7 in. Dividing Head,120,,,,,,,,,,,,,,
,Scherr Tumico  Ultra-Flat 18 x 12 x 3 Surface Plate,80,,,,,,,,,,,,,,
