2020-09-05,2 Starret Jacks Only 191A,,,,,,,Starting Price: ,,
2020-09-05,2 General Machinist's Jacks W/   Box No. 7,,,,,,,Starting Price: ,,
2020-09-05,2 General Machinist's Jacks W/O Box No. 7,,,,,,,Starting Price: ,,
2020-09-05,Unmarked Machinist's Jack,,,,,,,Starting Price: ,,
2020-09-05,Chaparral 1/16-3/8 Chuck Model C-38-3-1,,,,,,,Starting Price: \,3/8-24 Thread,,
2020-09-05,Supreme 0-1/4 Chuck 1T,,,,,,,Starting Price: ,,
2020-09-05,Unmarked 1/16-3/8 Drill Chuck,,,,,,,Starting Price: \,3/8-24 Thread,,
2020-09-05,PYH 1/2\" Keyless Chuck,,,,,,,Starting Price: ,,
2020-09-05,Starrett Center Finder Complete S-828H,,,,,,,Starting Price: ,,
2020-09-05,Craftsman Tap Wrench,,,,,,,Starting Price: ,,
2020-09-05,2 Starrett Protractor? No 12 (490?),,,,,,,Starting Price: ,,
2020-09-05,6 Brown and Sharpe #7 Collets,,,,,,,Starting Price: ,,
2020-09-05,7 Brown and Sharpe 00 Collets,,,,,,,Starting Price: ,,
2020-09-05,5 MT2 Collets,,,,,,,Starting Price: ,,
2020-09-05,Desmond Wheel Dresser No 0,,,,,,,Starting Price: ,,
2020-09-05,Cal-Van Metric and SAE Hex Wench Sets,,,,,,,Starting Price: ,,
2020-09-05,Buck Bros 1/4\" Chisel,,,,,,,Starting Price: ,,
2020-09-05,Buck Bros 1/2\" Chisel,,,,,,,Starting Price: ,,
2020-09-05,Buck Bros 1/2\" Chisel,,,,,,,Starting Price: ,,
2020-09-05,Buck Bros 3/4\" Chisel,,,,,,,Starting Price: ,,
2020-09-05,Buck Bros  1 1/4\" Chisel,,,,,,,Starting Price: ,,
2020-09-05,Stanley SH 1/8\" Chisel,,,,,,,Starting Price: ,,
2020-09-05,Stanley SH 1/4\" Chisel,,,,,,,Starting Price: ,,
2020-09-05,Federal Dial Indicator .0005\" J6K,,,,,,,Starting Price: ,,
2020-09-05,Federal Dial Indicator .0005\" C5M,,,,,,,Starting Price: ,,
2020-09-05,Federal Dial Indicator .001\"  CD1,,,,,,,Starting Price: ,,
2020-09-05,Lathe Dog 1 1/2\",,,,,,,Starting Price: ,,
2020-09-05,Lathe Dog 1 1/2\",,,,,,,Starting Price: ,,
2020-09-05,3 D-Bit 17/32,,,,,,,Starting Price: \,MT2,,
2020-09-05,2 D-Bit 9/16,,,,,,,Starting Price: \,MT2,,
2020-09-05,D-Bit 9/16,,,,,,,Starting Price: \,Straight Shank,,
2020-09-05,D-Bit 21/32,,,,,,,Starting Price: \,Straight Shank,,
2020-09-05,D-Bit 5/8,,,,,,,Starting Price: \,Straight Shank,,
2020-09-05,2 D-Bit 5/8,,,,,,,Starting Price: \,MT2,,
2020-09-05,D-Bit 11/16,,,,,,,Starting Price: \,To Uncle John,,
2020-09-05,D-Bit 13/16,,,,,,,Starting Price: ,,
2020-09-05,D-Bit 15/16,,,,,,,Starting Price: ,,
2020-09-05,2 D-Bit 1,,,,,,,Starting Price: ,,
2020-09-05,D-Bit 1 1/8,,,,,,,Starting Price: ,,
2020-09-05,D-Bit 1 3/16,,,,,,,Starting Price: ,,
2020-09-05,D-Bit 1 1/4,,,,,,,Starting Price: ,,
2020-09-05,Spanner Wrench,,,,,,,Starting Price: ,,
2020-09-05,Stanley Hand Drill 617,,,,,,,Starting Price: ,,
2020-09-05,Stanley Spokeshave 151,,,,,,,Starting Price: \,Made in England,,
2020-09-05,Brown and Sharpe Mic 599-1,,,,,,,Starting Price: \,Original Case and Box,,
2020-09-05,Lufkin Mic 1641,,,,,,,Starting Price: ,,
2020-09-05,Spyderco Stones,,,,,,,Starting Price: \,W/ Leather Case,,
2020-09-05,4 Starrett Telescoping Bore Gauges,,,,,,,Starting Price: ,,
2020-09-05,6 Lufkin Telescoping Bore Gauges,,,,,,,Starting Price: ,,
2020-09-05,Starrett Bore Gauge Set of 3 829-D,,,,,,,Starting Price: ,,
2020-09-05,Companion Round Edge Slip Stone 6829,,,,,,,Starting Price: ,,
2020-09-05,Asstd. Norton India Stones,,,,,,,Starting Price: ,,
2020-09-05,3 Sided Arkansas Stone Sharpening Block,,,,,,,Starting Price: ,,
2020-09-05,Starrett 711?,,,,,,,Starting Price: ,,
2020-09-05,Starrett Last Word (Older),,,,,,,Starting Price: ,,
2020-09-05,Starrett Last Word (Newer),,,,,,,Starting Price: ,,
2020-09-05,Lufkin Depth Mic 513,,,,,,,Starting Price: ,,
2020-09-05,Starrett 4\" Level,,,,,,,Starting Price: ,,
2020-09-05,Starrett Adj. Parallels 154-D,,,,,,,Starting Price: ,,
2020-09-16,Dayton 8 Ton Bottle Jack,4,,,,,,Starting Price: ,,
2020-09-16,Lot 2 Stanley Planes,15,145.5,130.5,,,,Starting Price: ,,
2020-09-16,Stanley SH 192,,13,,2021-05-26,61-A-1,,61\,Starting Price: ,,
2020-09-16,Stanley 148 (146 3/8\"?),,132.5,,2021-03-11,107-A-1,3\,\,11\,7\,3,107\,Starting Price: ,,
2020-09-20,Snap On 1948 3/8 Speed Wrench,,,,,,,Starting Price: ,,
2020-10-15,Arbor Press No 2,50,,,,,,Starting Price: \,Lako Engineering\, Louie,,
2020-10-15,Spin Indexer,50,45,-5,2021-02-02,53-A-1,,53\,Starting Price: 50,,
2020-10-15,T-Slot Hold-down Clamps,40,,,,,,Starting Price: ,,
2020-10-15,B Surface Plate,50,,,,,,Starting Price: ,,
2020-10-15,Mitutoyo 12\" Height Gauge,50,,,,,,Starting Price: ,,
2020-10-15,Detroit test indicator .0005\",40,,,,,,Starting Price: ,,
2020-10-23,Test Indicator Hardware,25,,,,,,Starting Price: ,,
2020-10-23,1 7/8 Williams Socket,10,,,,,,Starting Price: ,,
2020-10-23,Oiler,5,,,,,,Starting Price: ,,
2020-10-23,45 45 90\, & 30 60 90 blocks,10,,,,,,Starting Price: ,,
2020-10-23,Misc. angle blocks,20,,,,,,Starting Price: ,,
2020-11-02,(All 1 purchace),30,,,,,,Starting Price: \,F H Ayer Mfg. Chicago Heights\, Bill on-site boss,,
2020-11-02,3/4 18N Jacobs Super Chuck W/ MT4 + MT4-5 shank,,,,,,,Starting Price: ,,
2020-11-02,Albrecht Chuck W/ MT5 Taper,,,,,,,Starting Price: ,,
2020-11-02,Endmill holder? W/ MT5 Shank,,,,,,,Starting Price: ,,
2020-11-02,Shako Live Center Set,,,,,,,Starting Price: ,,
2020-11-02,(All 1 purchase) Asstd taps (all prices are for all comb.),80,429.18,349.18,,,,Starting Price: ,,
2020-11-02,3\" NPT,,69.69,,2021-02-11,35-A-1,,35\,Starting Price: 80,,
2020-11-02,2.5\" NPTF,,65,,2021-02-15,36-A-1,,36\,Starting Price: 75,,
2020-11-02,2\" NPT (Card),,65,,2021-02-15,37-A-1,,37\,Starting Price: 65,,
2020-11-02,2\" NPT,,30,,2021-02-28,38-A-1,,38\,Starting Price: 65,,
2020-11-02,1 1/2\" NPT 5 Flute,,20,,2021-03-03,40-A-1,,40\,Starting Price: 35,,
2020-11-02,1 1/2\" NPT 7 Flute,,23,,2021-02-08,39-A-1,,39\,Starting Price: 40,,
2020-11-02,1\" NPT,,,,,,,Starting Price: ,,
2020-11-02,(3) 3/4\" NPT,,,,,,,Starting Price: ,,
2020-11-02,1/2\" NPT,,,,,,,Starting Price: ,,
2020-11-02,3/8 NPT,,,,,,,Starting Price: ,,
2020-11-02,1/4 NPT,,,,,,,Starting Price: ,,
2020-11-02,3 Pipe taps (1\"\, 3/4\"\, 3/4\" TiN),,12.5,,2021-04-28,18-A-1,,18\,Starting Price: 45,,
2020-11-02,2 11/16\" - 12,,,,,41-A-1,,41\, Part of Shipping Info 127\,Starting Price: 50,,
2020-11-02,2\" - 12,,25,,2021-04-01,42-A-1,,42\,Starting Price: 60,,
2020-11-02,1 3/4\" - 5 (B) LH,,20,,2021-07-02,31-A-1,,31\,Starting Price: 40\,LH Thread,,
2020-11-02,1 3/4\" - 5 (A),,,,,32-A-1,,32\, Part of Shipping Info 127\,Starting Price: 35,,
2020-11-02,1 5/8\" - 5 1/2,,,,,29-A-1,,29\, Part of Shipping Info 127\,Starting Price: 30,,
2020-11-02,1 5/8 - 5,,25,,2022-03-31,30-A-1,,30\,Starting Price: 35\,OD: 1.630\",,
2020-11-02,1 1/2 - 6 (A),,10,,2021-06-02,28-A-1,,28\,Starting Price: 15,,
2020-11-02,1 1/2 - 6 (B),,8,,2021-04-10,27-A-1,,27\,Starting Price: 15,,
2020-11-02,1 1/2 - 6 (C),,5,,2021-03-30,26-A-1,,26\,Starting Price: 10,,
2020-11-02,1 1/2 - 6 (D),,15,,2021-02-07,25-A-1,,25\,Starting Price: 15,,
2020-11-02,1 1/2 - 12,,12.5,,2021-02-07,24-A-1,,24\,Starting Price: 25,,
2020-11-02,Lot of Taps and Die For Sale (Rest of taps and dies lot),,0.99,,,127-A-1,,127\, 14lbs\, 10x9x5\,Starting Price: ,,
2020-11-02,Misc Dies (Same Purchase as Asstd taps),,,,,,,Starting Price: ,,
2020-11-02,7/8 - 9 Die,,,,,23-A-1,,23\,Starting Price: 10,,
2020-11-02,1 1/2 - 6 Die (Chaser),,10,,2021-03-29,22-A-1,,22\,Starting Price: 10,,
2020-11-02,1 1/2 - 12 Die (Chaser),,12.5,,2021-02-07,21-A-1,,21\,Starting Price: 20,,
2020-11-02,1.767 - 12 Widell Die,,,,,20-A-1,,20\, Part of Shipping Info 127\,Starting Price: 5A,,
2020-11-02,1/4 E.C & B.C Square Pipe tap,,,,,19-A-1,,19\, Part of Shipping Info 127\,Starting Price: 10,,
2020-11-02,Maple Workbench Top,10,,,,,,Starting Price: ,,
